id;name;type;rating;scores_count;show
1;eos;project;0;467;1
2;blockstack;project;0;430;1
3;telegram;project;0;282;1
4;tezos;project;0;147;1
5;filecoin;project;0;74;1
6;augur;project;0;73;1
7;tron;project;0;69;1
8;kevin;project;0;64;1
9;decentraland;project;0;62;1
10;finney;project;0;54;1
11;0x;project;0;44;1
12;bancor;project;0;36;1
13;neo;project;0;35;1
14;appcoins;project;0;26;1
15;tzero;project;0;19;1
16;aragon;project;0;16;1
17;qtum;project;0;16;1
18;dentacoin;project;0;16;1
19;storj;project;0;13;1
20;golem;project;0;11;1
21;monaco;project;0;9;1
22;gnosis;project;0;8;1
23;incent;project;0;5;1
24;b21;project;0;5;1
25;viva;project;0;5;1
26;aicoin;project;0;5;1
27;globitex;project;0;5;1
28;veritaseum;project;0;5;1
29;tenx;project;0;4;1
30;komodo;project;0;4;1
31;prodeum;project;0;4;1
32;cryptopay;project;0;4;1
33;fuzex;project;0;4;1
34;raison;project;0;4;1
35;egold;project;0;3;1
36;lisk;project;0;3;1
37;aeternity;project;0;3;1
38;zeus;project;0;2;1
39;bitguild;project;0;2;1
40;crypviser;project;0;2;1
41;publica;project;0;2;1
42;coindash;project;0;2;1
43;ethlend;project;0;2;1
44;gana;project;0;2;1
45;sp8de;project;0;2;1
46;cubaaz;project;0;1;1
47;lunyr;project;0;1;1
48;sonm;project;0;1;1
49;stratis;project;0;1;1
50;vite;project;0;1;1
51;chainlink;project;0;1;1
52;worldcore;project;0;1;1
53;vernam;project;0;1;1
54;prether;project;0;1;1
55;viewly;project;0;1;1
56;cdg;project;0;1;1
57;bankex;project;0;1;1
58;district0x;project;0;1;1
59;transcrypt;project;0;1;1
60;wepower;project;0;1;1
61;trade.io;project;0;1;1
62;digi;project;0;1;1
63;bitnation;project;0;1;1
64;snapup;project;0;1;1
65;gilgamesh;project;0;1;1
66;chex;project;0;1;1
67;sandblock;project;0;1;1
68;aeron;project;0;1;1
69;nvo;project;0;1;1
70;clearcoin;project;0;1;1
71;mira;project;0;1;1
72;iex.ec;project;0;1;1
73;stox;project;0;1;1
74;well;project;0;2746;0
